subj,cond,AOI,duration,order
User 10ba,p1,ag,0.427250,1
User 10ba,p1,ai,0.673830,2
User 10ba,p1,ai,3.860590,3
User 10ba,p1,ah,0.460090,4
User 10ba,p1,bi,0.919920,5
User 10ba,p1,ah,1.626460,6
User 10ba,p1,bh,0.936530,7
User 10ba,p1,ah,5.027230,8
User 10ba,p1,ag,1.067630,9
User 10ba,p1,ag,1.034920,10
User 10ba,p1,af,4.583490,11
User 10ba,p1,af,0.952880,12
User 10ba,p1,ag,0.295780,13
User 10ba,p1,ag,3.170660,14
User 10ba,p1,af,1.921870,15
User 10ba,p1,af,1.675780,16
User 10ba,p1,af,1.330560,17
User 10ba,p1,ae,1.593270,18
User 10ba,p1,ae,1.412720,19
User 10ba,p1,af,0.017820,20
User 10ba,p1,ae,1.034920,21
User 10ba,p1,ae,3.663330,22
User 10ba,p1,ad,1.182980,23
User 10ba,p1,ad,2.628540,24
User 10ba,p1,ad,2.529910,25
User 10ba,p1,ac,1.133670,26
User 10ba,p1,ac,0.427240,27
User 10ba,p1,ac,0.361450,28
User 10ba,p1,af,0.788570,29
User 10ba,p1,ab,1.708490,30
User 10ba,p1,ab,0.164430,31
User 10ba,p1,ab,0.279420,32
User 10ba,p1,ac,0.032960,33
User 10ba,p1,ab,0.854370,34
User 10ba,p1,bb,0.244140,35
User 10ba,p1,af,0.427000,36
User 10ba,p1,af,1.347290,37
User 10ba,p1,af,0.837650,38
User 10ba,p1,af,1.495240,39
